,AGE07,EDCL07,MARRIED07,KIDS07,OCCAT107,INCOME07,RISK07,WSAVED07,SPENDMOR07,HHOUSES07,NETWORTH07,Risky2007,Risky2009,Safe2007,Safe2009,RiskTol2007,RiskTol2009,RiskTolChange
12704,37,4,2,0,2,183175.92451,2,3,4,1,1137604.017,129449.706075,260000,131520.90137,165000,0.4960317460359276,0.611764705882353,0.1157329598464254
12715,32,2,1,1,2,21299.526106,3,3,5,1,56750.751143,18640.757675,0,7766.9823645,8000,0.705882352943404,0.0,-0.705882352943404
12716,32,2,1,1,2,22364.502411,3,3,5,1,57889.908556,19676.355323,0,7766.9823645,8000,0.7169811320713466,0.0,-0.7169811320713466
12717,32,2,1,1,2,22364.502411,3,3,5,1,50640.725016,12427.171783,0,7766.9823645,8000,0.6153846153808062,0.0,-0.6153846153808062
12718,32,2,1,1,2,22364.502411,3,3,5,1,52711.920314,14498.36708,0,7766.9823645,8000,0.6511627906914075,0.0,-0.6511627906914075
12719,32,2,1,1,2,22364.502411,3,3,5,1,53747.517962,15533.964729,0,7766.9823645,8000,0.6666666666666666,0.0,-0.6666666666666666
12730,41,4,1,0,1,83068.151813,2,3,5,1,92717.057479,8388.3409536,1400,22296.417374,20680,0.27337158285698293,0.06340579710144928,-0.20996578575553365
12731,41,4,1,0,1,82003.175508,2,3,5,1,88678.226649,8388.3409536,2200,22296.417374,14640,0.27337158285698293,0.13064133016627077,-0.14273025269071216
12732,41,4,1,0,1,83068.151813,2,3,5,1,95823.850425,8388.3409536,1800,22296.417374,19670,0.27337158285698293,0.08383791336748952,-0.1895336694894934
12733,41,4,1,0,1,82003.175508,2,3,5,1,93234.856303,8388.3409536,2000,22296.417374,19700,0.27337158285698293,0.09216589861751152,-0.18120568423947142
12734,41,4,1,0,1,82003.175508,2,3,5,1,90645.862182,8388.3409536,1400,22296.417374,19880,0.27337158285698293,0.06578947368421052,-0.20758210917277242
12735,60,4,2,0,3,69223.459844,4,3,4,0,258360.90137,56957.870673,120000,150814.08556362,67500,0.27413647012176096,0.64,0.36586352987823906
12736,60,4,2,0,3,64963.554623,4,3,4,0,257325.30372,56957.870673,120000,150814.08556362,67500,0.27413647012176096,0.64,0.36586352987823906
12737,60,4,2,0,3,63898.578318,4,3,4,0,258360.90137,56957.870673,120000,150814.08556362,67500,0.27413647012176096,0.64,0.36586352987823906
12738,60,4,2,0,3,66028.530928,4,3,4,0,257325.30372,56957.870673,120000,150814.08556362,67500,0.27413647012176096,0.64,0.36586352987823906
12739,60,4,2,0,3,63898.578318,4,3,4,0,257325.30372,56957.870673,120000,150814.08556362,67500,0.27413647012176096,0.64,0.36586352987823906
12740,60,4,1,0,2,45793.981128,2,2,3,1,587287.42652,100452.97191,65000,3210.35271066,4370,0.9690309690297143,0.9370044687905434,-0.03202650023917086
12741,60,4,1,0,2,45793.981128,2,2,3,1,602821.39125,100452.97191,65000,3210.35271066,4380,0.9690309690297143,0.9368694148169501,-0.03216155421276423
12742,60,4,1,0,2,45793.981128,2,2,3,1,575895.85238,100452.97191,65000,3210.35271066,4370,0.9690309690297143,0.9370044687905434,-0.03202650023917086
